snapshot_id,product_id,snapshot_date,quantity_start_of_day,quantity_received,quantity_shipped,backorder_quantity,in_transit_quantity
1,69,2024-10-26,942,40,127,2,13
2,76,2024-10-13,892,95,84,32,9
3,88,2024-01-12,677,177,92,31,101
4,98,2024-11-14,952,122,40,16,92
5,58,2024-05-15,767,185,129,14,160
6,8,2024-01-01,390,30,141,2,11
7,87,2024-10-27,245,174,61,38,41
8,59,2023-12-25,821,42,97,48,6
9,63,2024-08-26,15,46,124,16,67
10,74,2024-01-26,543,18,12,14,79
11,12,2024-12-11,183,60,91,18,179
12,99,2024-01-11,845,171,33,50,85
13,85,2024-10-07,818,107,146,33,158
14,26,2024-06-26,786,176,5,33,140
15,68,2024-04-07,663,30,39,14,73
16,34,2024-07-12,543,200,119,22,131
17,47,2024-01-20,680,165,113,39,178
18,51,2024-12-04,556,33,9,9,66
19,4,2024-04-07,908,104,140,6,92
20,46,2024-08-20,689,58,75,2,71
21,49,2024-03-17,635,114,64,3,57
22,44,2024-02-21,122,114,122,4,90
23,90,2024-11-10,863,76,79,44,47
24,29,2024-07-27,551,68,58,48,198
25,79,2024-03-14,898,174,54,39,31
26,74,2024-07-04,584,127,101,42,76
27,69,2024-03-29,283,124,142,21,94
28,65,2024-06-14,451,55,50,43,146
29,20,2024-04-12,424,46,15,27,146
30,29,2024-11-04,396,99,126,5,95
31,29,2024-02-28,688,128,147,8,116
32,35,2024-12-17,125,96,48,24,125
33,32,2024-07-19,729,93,47,20,170
34,23,2024-07-25,479,121,88,34,8
35,31,2024-05-22,908,152,53,42,25
36,72,2024-06-28,89,198,26,39,113
37,57,2024-03-29,630,2,86,26,24
38,16,2024-11-24,370,183,39,38,176
39,82,2024-05-21,716,41,17,1,112
40,100,2024-06-21,20,103,132,34,117
41,71,2024-04-19,282,34,145,13,146
42,95,2024-03-19,253,12,56,21,32
43,84,2024-04-01,66,161,99,19,142
44,10,2024-06-20,803,112,12,31,131
45,66,2024-04-02,509,90,112,45,35
46,70,2024-05-06,641,4,95,1,1
47,100,2024-03-08,902,130,62,31,114
48,2,2024-10-31,452,121,39,12,167
49,89,2024-09-29,516,155,70,30,85
50,72,2024-04-07,574,114,22,3,48
51,2,2024-05-31,315,103,73,31,105
52,88,2024-12-09,852,117,7,7,182
53,10,2024-01-30,643,1,109,2,40
54,78,2024-11-23,54,129,42,31,66
55,90,2024-06-01,555,176,70,49,128
56,34,2024-10-20,855,190,79,44,124
57,2,2024-01-29,120,2,77,29,191
58,54,2024-11-04,387,31,4,24,170
59,81,2024-01-20,30,141,50,10,135
60,54,2024-01-17,296,32,56,18,3
61,21,2024-12-11,334,67,125,33,156
62,36,2024-11-02,213,59,122,18,186
63,98,2024-01-06,27,180,109,13,131
64,37,2024-10-28,796,163,129,31,144
65,52,2024-04-15,538,47,94,38,111
66,3,2024-05-21,645,178,141,22,164
67,90,2024-06-20,318,196,64,5,109
68,96,2024-06-17,712,112,134,20,162
69,16,2024-06-26,324,84,7,43,96
70,64,2024-01-03,722,110,28,35,40
71,55,2024-10-08,729,27,46,5,164
72,43,2024-07-31,314,26,90,1,191
73,12,2024-03-25,230,199,29,17,66
74,26,2024-02-14,697,159,139,3,89
75,66,2024-03-15,852,136,133,5,72
76,36,2024-06-12,925,27,111,2,48
77,9,2024-08-27,341,35,35,40,144
78,3,2024-09-06,111,127,63,20,117
79,98,2024-06-20,66,126,120,49,81
80,68,2024-06-15,207,81,25,20,90
81,28,2024-08-06,764,186,108,33,131
82,68,2024-12-14,46,157,143,4,52
83,6,2024-10-12,214,186,115,35,167
84,16,2024-06-25,637,133,29,32,8
85,5,2024-12-07,777,132,43,32,75
86,21,2024-10-10,890,143,10,9,40
87,56,2024-06-20,345,41,72,19,56
88,3,2024-04-04,272,116,6,4,14
89,50,2024-09-07,8,15,81,9,22
90,13,2024-04-23,923,13,58,14,99
91,8,2024-08-14,676,82,134,3,40
92,68,2024-06-02,998,142,84,21,86
93,58,2024-02-19,969,39,13,29,178
94,97,2024-11-11,46,89,138,8,135
95,15,2024-06-06,799,159,9,27,101
96,92,2024-11-01,113,2,25,22,27
97,4,2023-12-19,896,59,69,18,47
98,45,2024-10-21,825,60,38,33,191
99,78,2024-02-02,304,121,111,34,182
100,30,2024-07-22,138,157,65,23,102
101,43,2024-07-16,340,126,95,23,82
102,49,2024-07-30,945,72,72,32,34
103,89,2024-08-08,162,57,67,19,88
104,34,2024-11-30,935,41,10,32,6
105,99,2024-09-24,882,84,87,18,109
106,34,2024-02-11,49,7,139,29,10
107,66,2024-05-30,587,55,25,37,102
108,64,2024-12-06,972,24,6,4,186
109,65,2024-04-11,723,149,76,26,24
110,22,2024-06-15,908,72,110,0,3
111,22,2024-03-13,567,115,0,45,200
112,54,2024-10-01,458,163,35,36,18
113,48,2024-08-27,411,134,47,7,51
114,92,2024-09-28,37,185,126,38,23
115,1,2024-03-02,775,96,15,16,9
116,52,2024-11-11,29,48,60,5,80
117,26,2024-09-28,822,181,107,41,161
118,74,2024-09-27,970,112,71,11,149
119,39,2024-10-29,226,152,26,2,117
120,98,2024-11-07,943,28,44,17,98
121,79,2024-02-25,308,72,28,6,50
122,91,2024-12-09,49,194,6,20,31
123,43,2024-10-10,249,162,79,40,143
124,15,2024-03-13,521,115,11,14,70
125,65,2024-08-24,102,104,107,10,171
126,6,2024-12-15,992,111,47,22,70
127,59,2024-10-04,18,113,36,14,167
128,98,2024-07-22,210,167,72,31,67
129,43,2024-04-14,865,30,62,47,32
130,7,2024-08-09,52,181,54,10,93
131,6,2024-10-18,738,60,80,30,133
132,7,2024-12-03,176,140,137,33,71
133,1,2024-05-28,452,93,80,34,47
134,33,2024-10-12,821,116,111,49,49
135,49,2024-02-25,223,133,133,31,127
136,12,2024-12-08,138,84,4,20,136
137,34,2024-10-22,744,49,40,35,164
138,95,2024-04-26,720,1,92,31,39
139,9,2024-01-06,975,120,27,18,10
140,46,2024-09-01,85,56,26,23,53
141,66,2024-09-24,777,102,38,17,126
142,93,2024-12-16,566,45,150,42,114
143,67,2024-01-03,691,36,2,50,34
144,21,2024-09-22,278,9,0,30,108
145,38,2024-01-21,576,159,15,8,39
146,51,2024-09-03,398,7,90,9,0
147,44,2024-05-05,20,120,51,43,102
148,31,2024-11-05,880,148,85,0,81
149,68,2024-07-17,774,121,35,40,36
150,85,2024-07-27,885,26,67,4,48
151,90,2024-03-11,383,65,72,30,193
152,62,2024-10-15,906,16,105,22,142
153,75,2024-05-24,18,172,76,31,55
154,2,2024-08-30,581,172,129,33,77
155,14,2024-05-13,548,17,40,33,47
156,34,2024-12-08,152,65,126,3,51
157,44,2024-09-19,389,0,129,21,45
158,28,2024-09-26,510,117,9,13,85
159,1,2024-04-30,298,3,12,17,144
160,85,2024-10-12,612,159,80,19,168
161,4,2024-05-11,258,69,117,36,176
162,57,2024-08-30,660,161,126,49,80
163,83,2024-07-16,763,21,105,23,148
164,57,2024-05-06,341,34,99,21,5
165,28,2024-04-23,16,24,77,31,49
166,50,2024-11-19,120,18,128,6,40
167,89,2024-10-19,358,125,92,33,159
168,4,2024-10-30,794,139,123,11,145
169,39,2024-08-09,526,57,78,20,152
170,28,2024-04-22,441,182,30,49,197
171,51,2024-08-12,103,120,6,18,159
172,2,2024-01-06,616,130,3,33,161
173,44,2023-12-21,885,141,40,11,193
174,92,2024-05-03,726,114,35,31,195
175,70,2024-04-03,880,148,66,5,101
176,40,2024-01-09,136,69,98,11,77
177,78,2024-12-16,102,180,91,2,131
178,29,2024-04-28,134,61,56,15,17
179,12,2024-12-08,190,170,111,33,85
180,91,2024-03-21,656,135,121,7,18
181,58,2023-12-26,294,129,119,43,179
182,82,2024-11-29,28,154,120,5,175
183,96,2024-07-20,891,197,106,46,180
184,1,2024-03-13,250,102,16,43,162
185,94,2024-04-04,998,60,138,16,87
186,44,2024-01-27,568,159,70,4,194
187,28,2024-12-12,335,115,35,46,82
188,23,2024-02-01,300,74,37,24,22
189,96,2024-02-14,523,58,110,28,27
190,44,2024-03-17,576,86,95,31,118
191,5,2024-09-02,807,41,144,4,111
192,25,2024-07-04,558,24,118,34,162
193,73,2024-02-02,238,68,113,32,53
194,90,2024-01-09,461,154,79,47,155
195,67,2024-01-13,218,177,52,18,107
196,44,2024-07-14,53,114,87,29,200
197,58,2024-06-12,201,192,114,34,131
198,52,2024-04-05,284,38,63,10,152
199,56,2024-05-07,256,115,140,16,7
200,86,2024-09-01,439,68,79,36,25
201,93,2023-12-29,999,28,53,42,68
202,29,2024-07-08,935,60,72,50,141
203,56,2024-09-07,249,16,117,47,21
204,16,2024-06-19,629,145,122,4,79
205,82,2024-09-14,145,89,81,48,121
206,51,2024-05-03,608,13,96,45,133
207,39,2024-02-05,463,85,80,19,148
208,44,2024-07-09,290,25,129,8,115
209,77,2024-08-20,18,36,92,11,94
210,87,2024-08-01,904,178,141,45,32
211,66,2024-04-14,550,195,131,34,160
212,26,2024-10-27,229,94,86,26,100
213,32,2024-03-16,926,116,119,15,27
214,14,2024-07-12,235,116,84,27,74
215,69,2024-02-15,524,7,68,43,107
216,10,2024-08-07,287,159,43,4,156
217,89,2024-04-14,46,84,8,15,52
218,83,2024-07-02,235,45,119,44,135
219,78,2024-03-15,954,98,57,9,166
220,96,2024-06-06,603,165,6,31,173
221,22,2023-12-26,922,76,106,46,18
222,13,2024-11-11,177,161,115,47,18
223,55,2024-11-07,599,62,108,38,48
224,95,2024-12-05,742,149,97,6,116
225,52,2024-11-01,168,125,4,19,77
226,33,2024-05-09,919,150,111,44,115
227,86,2024-05-08,872,187,124,30,41
228,86,2024-11-24,664,72,16,46,27
229,65,2024-08-13,978,42,111,13,7
230,27,2024-05-10,945,0,64,38,41
231,3,2024-10-22,208,110,107,10,50
232,72,2024-03-28,62,60,133,17,173
233,18,2024-07-28,385,146,124,42,110
234,67,2024-08-14,169,31,112,46,158
235,89,2024-08-14,247,197,137,42,118
236,91,2024-02-15,597,4,72,7,138
237,74,2024-11-10,404,127,78,11,12
238,72,2024-08-19,245,155,132,11,91
239,93,2024-06-19,295,96,23,44,180
240,65,2024-05-16,277,74,71,2,124
241,5,2024-03-12,94,57,36,22,180
242,23,2024-04-10,881,97,103,10,75
243,56,2024-11-04,231,165,31,3,140
244,36,2024-06-12,353,156,31,12,131
245,15,2024-07-22,432,192,24,13,77
246,33,2024-07-12,62,184,98,38,46
247,18,2023-12-18,202,117,117,10,74
248,59,2024-09-22,59,90,101,7,84
249,94,2024-08-31,959,115,73,2,139
250,83,2024-12-17,324,102,79,20,52
251,70,2024-01-20,751,68,6,15,195
252,51,2024-02-25,85,19,136,32,17
253,11,2024-12-10,352,42,68,38,44
254,52,2024-05-28,160,43,145,40,63
255,77,2024-06-25,306,192,71,10,68
256,82,2024-03-22,892,198,82,14,154
257,34,2024-12-10,978,167,3,37,47
258,48,2023-12-24,197,62,142,3,76
259,54,2024-09-14,703,31,28,12,104
260,75,2024-03-26,701,29,50,25,60
261,45,2024-04-13,686,127,8,31,92
262,9,2024-09-04,598,6,24,14,19
263,74,2024-04-27,316,102,143,45,81
264,98,2024-10-26,978,13,0,24,116
265,5,2024-08-20,385,152,140,15,184
266,90,2024-03-28,180,81,16,30,118
267,70,2024-09-27,360,80,76,9,161
268,64,2024-08-12,782,19,79,45,79
269,6,2024-11-02,545,119,144,22,190
270,73,2024-02-13,23,10,11,21,66
271,88,2024-06-04,235,187,21,25,17
272,84,2024-09-02,437,112,100,33,130
273,93,2024-10-09,652,121,17,50,16
274,29,2024-07-16,739,200,77,20,104
275,2,2024-07-31,308,39,34,35,20
276,28,2023-12-25,353,166,125,43,200
277,29,2024-10-01,754,197,95,5,82
278,73,2024-11-20,730,84,3,22,47
279,26,2024-05-19,218,125,45,13,77
280,3,2024-02-22,426,17,61,30,190
281,45,2024-01-02,452,28,55,26,40
282,18,2024-07-30,988,25,72,49,115
283,95,2024-05-16,64,10,116,17,151
284,80,2024-10-22,273,197,89,40,59
285,7,2024-01-21,965,98,48,10,33
286,81,2024-11-10,469,39,4,24,108
287,31,2024-08-01,256,16,143,13,190
288,88,2024-12-02,929,150,114,6,19
289,83,2024-03-12,940,161,136,34,144
290,8,2024-07-18,149,32,68,48,169
291,31,2024-11-23,792,151,69,32,11
292,93,2024-06-17,808,110,125,36,65
293,49,2024-07-27,944,120,44,4,93
294,36,2024-03-22,787,1,7,48,181
295,25,2024-01-02,321,193,53,25,25
296,91,2024-08-16,788,171,103,41,118
297,98,2024-05-26,213,199,43,13,50
298,16,2024-09-04,242,193,40,39,191
299,5,2024-01-21,696,188,12,30,82
300,41,2024-12-09,857,39,136,24,98
301,79,2024-12-04,992,136,33,10,58
302,48,2024-01-20,533,62,4,44,123
303,83,2024-04-10,525,3,3,13,120
304,65,2024-06-09,280,86,29,41,39
305,61,2024-03-29,713,95,91,39,40
306,54,2024-05-28,114,27,69,39,53
307,93,2023-12-30,958,80,127,14,17
308,68,2024-01-07,295,184,142,39,115
309,98,2024-06-10,592,17,106,45,153
310,96,2024-08-17,192,78,108,29,3
311,57,2024-10-08,738,157,14,27,164
312,22,2024-07-08,514,19,51,9,95
313,37,2024-11-11,800,175,89,19,53
314,17,2024-08-02,563,143,142,42,53
315,13,2024-03-18,999,12,125,16,92
316,37,2024-06-12,615,89,90,30,191
317,40,2024-01-16,833,36,147,4,84
318,48,2024-09-17,929,40,113,34,176
319,40,2024-03-09,43,126,53,44,99
320,49,2024-08-05,797,90,3,18,70
321,48,2024-01-21,972,25,0,30,196
322,63,2024-06-04,824,173,95,20,92
323,14,2024-01-07,673,41,123,34,110
324,82,2024-03-10,728,10,36,36,55
325,99,2024-09-05,561,15,30,2,57
326,92,2024-05-21,946,9,48,19,10
327,30,2024-07-13,514,178,62,49,10
328,94,2024-02-26,423,4,14,27,185
329,91,2024-09-30,879,161,63,15,199
330,35,2024-03-25,170,179,18,18,135
331,24,2024-01-09,942,153,108,2,91
332,23,2024-02-17,689,141,3,27,125
333,68,2024-10-08,11,32,21,19,107
334,98,2024-01-30,487,199,140,1,33
335,54,2024-08-28,798,79,107,6,146
336,83,2024-01-16,545,57,39,6,24
337,99,2024-06-09,503,84,79,37,190
338,7,2024-12-04,325,182,19,16,46
339,89,2024-12-05,510,116,103,4,34
340,76,2024-05-19,213,22,31,18,68
341,61,2024-08-30,763,197,62,35,187
342,1,2024-09-13,661,173,51,24,50
343,97,2024-08-12,901,5,73,43,122
344,48,2024-05-11,185,107,146,18,27
345,89,2024-04-17,710,119,39,50,76
346,44,2024-02-03,159,190,106,25,159
347,17,2024-06-28,767,132,31,18,56
348,57,2024-10-30,732,193,23,26,178
349,41,2024-06-26,344,176,62,5,66
350,45,2024-07-01,154,98,86,24,33
351,63,2024-04-11,883,62,29,6,176
352,80,2024-04-28,523,72,36,8,181
353,7,2024-05-11,637,140,63,2,65
354,70,2024-08-19,334,8,55,39,111
355,55,2024-04-13,76,23,144,30,21
356,75,2024-05-12,257,168,13,7,158
357,31,2024-10-21,168,50,113,9,48
358,100,2024-06-12,497,123,110,32,5
359,39,2024-08-19,203,34,39,34,28
360,2,2024-08-31,206,27,70,20,181
361,85,2024-04-19,640,53,37,21,39
362,69,2024-09-09,785,152,79,5,63
363,8,2024-06-05,808,12,40,8,165
364,70,2024-10-17,843,123,110,5,123
365,77,2024-05-16,129,33,51,9,9
366,63,2024-10-08,81,179,123,8,62
367,98,2024-05-28,762,155,123,23,51
368,39,2024-11-04,138,72,62,14,129
369,13,2023-12-19,0,194,24,14,124
370,23,2024-11-07,544,4,124,5,171
371,92,2024-04-30,760,96,89,47,113
372,97,2024-12-17,722,115,75,30,180
373,10,2024-05-09,305,61,62,45,176
374,31,2024-08-12,395,41,69,43,126
375,15,2024-10-21,797,59,95,18,62
376,19,2024-08-21,868,126,34,17,71
377,20,2024-01-29,130,100,18,39,150
378,8,2024-08-29,136,79,120,37,45
379,51,2024-08-05,786,60,5,31,88
380,98,2024-03-23,437,132,108,32,83
381,45,2024-06-30,984,199,138,0,116
382,51,2024-03-12,815,137,24,4,183
383,83,2024-10-10,936,164,99,38,179
384,59,2024-01-23,369,26,16,45,75
385,86,2024-03-10,883,176,92,46,163
386,15,2024-06-06,960,184,30,8,118
387,33,2024-10-07,496,156,22,12,83
388,88,2024-01-19,800,118,106,30,61
389,20,2024-05-15,596,113,37,8,102
390,96,2024-09-08,153,144,40,42,43
391,58,2024-04-03,736,117,147,39,11
392,31,2024-09-28,403,65,124,44,24
393,19,2024-12-12,694,62,83,28,137
394,97,2024-01-06,518,106,101,43,163
395,35,2024-08-14,888,187,131,10,199
396,82,2024-05-05,846,182,35,11,92
397,68,2024-09-11,735,28,135,32,168
398,67,2024-11-04,74,150,104,35,168
399,14,2024-08-28,983,127,77,19,92
400,27,2024-05-14,115,108,73,26,93
401,6,2024-01-05,659,107,21,19,1
402,41,2024-08-10,725,16,130,0,40
403,25,2024-07-23,575,68,79,27,122
404,53,2024-08-20,476,194,98,9,24
405,94,2024-12-04,174,91,97,31,87
406,88,2023-12-21,745,15,128,40,127
407,39,2024-12-15,764,18,134,46,127
408,41,2024-03-07,262,8,113,32,146
409,42,2024-06-02,307,15,66,20,82
410,39,2024-02-10,814,69,1,6,118
411,80,2024-06-01,819,138,9,17,52
412,16,2024-04-05,415,74,77,50,42
413,80,2024-04-29,811,188,80,33,102
414,34,2024-10-21,312,81,37,16,28
415,56,2024-02-15,280,16,16,21,132
416,12,2024-11-17,731,186,104,12,38
417,13,2024-03-08,205,33,37,48,102
418,49,2024-07-25,319,69,134,2,154
419,59,2024-04-30,540,189,4,47,85
420,32,2024-03-13,256,157,54,1,79
421,2,2024-01-10,75,171,141,38,65
422,27,2024-10-02,843,94,3,50,18
423,46,2024-03-21,29,199,133,15,11
424,41,2024-08-04,147,193,139,26,53
425,70,2023-12-21,751,150,94,29,191
426,43,2024-08-17,817,68,3,16,12
427,93,2024-11-24,664,117,111,14,99
428,33,2024-11-28,923,127,87,34,0
429,61,2024-02-10,616,163,11,14,78
430,12,2024-06-29,83,174,2,6,175
431,75,2024-09-21,613,101,120,45,110
432,20,2024-12-05,602,113,113,33,35
433,35,2024-07-21,406,165,91,23,143
434,40,2024-01-23,773,172,138,2,63
435,87,2024-04-18,301,152,126,28,153
436,55,2024-03-13,951,198,18,0,48
437,18,2024-06-04,360,123,137,7,133
438,92,2024-03-13,921,181,95,35,135
439,7,2024-11-20,790,185,112,8,177
440,27,2024-03-26,395,12,100,23,164
441,11,2024-05-03,137,196,87,24,151
442,88,2024-07-15,890,6,104,19,127
443,9,2024-06-29,956,44,126,31,103
444,25,2024-02-17,231,118,110,10,195
445,3,2024-12-12,225,53,87,4,36
446,70,2024-12-17,3,44,76,26,69
447,31,2024-05-20,523,99,88,19,160
448,43,2024-12-03,717,16,90,33,185
449,98,2024-05-04,996,163,71,8,27
450,26,2024-12-04,45,4,91,39,184
451,82,2024-06-05,109,168,80,2,66
452,43,2024-10-01,635,125,53,38,59
453,60,2024-08-12,433,17,19,6,22
454,43,2023-12-22,121,39,101,31,165
455,20,2024-09-19,691,83,79,48,40
456,34,2024-06-28,174,18,108,31,136
457,78,2024-01-10,659,74,38,29,65
458,9,2024-03-06,581,151,99,35,118
459,34,2024-11-03,384,134,119,42,100
460,11,2024-09-11,84,25,69,37,47
461,16,2024-05-22,340,94,89,30,161
462,50,2024-05-12,569,126,75,44,189
463,29,2024-12-11,69,124,58,19,196
464,32,2024-01-14,763,81,121,32,69
465,27,2024-09-30,987,67,112,8,179
466,98,2024-10-07,827,52,20,37,1
467,35,2024-05-30,877,45,110,2,20
468,2,2024-09-15,120,153,53,12,104
469,49,2024-05-31,921,18,125,6,167
470,6,2024-02-20,945,196,60,34,78
471,86,2024-10-07,953,8,26,19,183
472,53,2024-03-21,472,8,104,38,75
473,52,2024-10-06,886,100,52,45,32
474,74,2024-08-16,813,148,25,46,190
475,8,2024-02-02,691,1,4,15,139
476,66,2024-06-06,86,154,43,47,29
477,50,2023-12-18,102,188,52,21,14
478,85,2024-03-05,446,2,98,36,17
479,14,2024-09-18,550,90,50,19,62
480,25,2024-09-24,170,56,142,41,7
481,69,2024-02-15,381,187,123,11,135
482,96,2024-05-25,298,85,150,15,0
483,96,2024-07-25,393,63,13,40,149
484,16,2024-12-06,819,43,121,36,69
485,90,2024-08-04,379,85,80,2,149
486,66,2024-03-26,503,198,92,2,162
487,80,2024-06-14,847,115,80,8,118
488,19,2024-11-12,861,178,80,30,75
489,65,2023-12-25,722,53,56,23,15
490,88,2024-10-22,687,129,93,24,154
491,22,2024-01-07,463,11,135,39,77
492,27,2024-04-06,512,77,124,44,100
493,92,2023-12-31,877,180,123,39,174
494,20,2024-06-27,862,188,33,27,59
495,23,2024-11-23,14,137,44,25,103
496,85,2024-07-11,121,30,14,19,108
497,53,2024-01-15,914,197,101,24,192
498,49,2023-12-24,162,144,130,48,95
