order_item_id,order_id,product_id,quantity_ordered,quantity_fulfilled,pct_fulfilled
0,1825,83,42,42,1.0
1,410,75,3,3,1.0
2,4507,75,11,11,1.0
3,4013,7,47,47,1.0
4,3658,51,25,25,1.0
5,2287,68,2,2,1.0
6,1680,22,48,48,1.0
7,8936,90,12,12,1.0
8,1425,7,34,34,1.0
9,9675,15,42,42,1.0
10,6913,98,20,20,1.0
11,521,27,27,27,1.0
12,489,83,23,23,1.0
13,1536,2,47,47,1.0
14,3583,64,22,22,1.0
15,3812,10,38,38,1.0
16,8280,55,10,10,1.0
17,9864,64,6,0,0.0
18,435,45,46,29,0.6304
19,9196,25,34,34,1.0
20,3258,88,38,38,1.0
21,8929,90,21,21,1.0
22,6874,22,25,25,1.0
23,3612,15,35,35,1.0
24,7360,50,33,33,1.0
25,9655,29,26,26,1.0
26,4558,89,17,17,1.0
27,107,25,40,40,1.0
28,2616,54,37,37,1.0
29,6925,16,14,14,1.0
30,5575,31,13,13,1.0
31,4553,10,43,43,1.0
32,2548,61,38,38,1.0
33,3528,79,29,29,1.0
34,5515,68,18,18,1.0
35,1675,43,23,23,1.0
36,1520,35,13,13,1.0
37,6225,75,39,39,1.0
38,1585,5,5,5,1.0
39,5882,97,35,35,1.0
40,5636,6,3,3,1.0
41,9892,40,12,12,1.0
42,4334,89,15,15,1.0
43,712,78,35,35,1.0
44,7528,8,19,8,0.4211
45,8786,32,36,36,1.0
46,2046,61,29,5,0.1724
47,6202,87,27,11,0.4074
48,1292,21,6,6,1.0
49,9045,77,41,41,1.0
50,4804,46,20,20,1.0
51,5926,96,20,20,1.0
52,9460,38,17,17,1.0
53,3151,48,15,15,1.0
54,1140,67,47,47,1.0
55,751,100,46,46,1.0
56,3734,43,15,15,1.0
57,4742,65,43,43,1.0
58,1308,29,44,44,1.0
59,3815,44,50,50,1.0
60,1655,89,29,29,1.0
61,6228,54,15,15,1.0
62,4555,31,25,25,1.0
63,7429,88,50,50,1.0
64,5978,77,42,42,1.0
65,2665,76,42,42,1.0
66,6066,71,3,3,1.0
67,5821,98,40,40,1.0
68,3433,16,4,4,1.0
69,4375,20,33,33,1.0
