order_id,customer_id,order_date,status
1,714,2024-11-10,Completed
2,102,2024-06-26,Completed
3,845,2024-01-21,Completed
4,647,2024-05-03,Completed
5,979,2024-03-30,Completed
6,511,2024-07-08,Completed
7,86,2024-05-12,Cancelled
8,77,2024-11-19,Completed
9,229,2024-03-17,Completed
10,489,2024-07-12,Partially Filled
11,337,2024-11-12,Completed
12,436,2024-07-20,Completed
13,188,2024-08-18,Completed
14,262,2024-10-15,Completed
15,578,2024-08-02,Completed
16,546,2024-07-18,Completed
17,648,2024-10-11,Partially Filled
18,526,2024-07-10,Completed
19,534,2024-10-08,Unfilled
20,474,2024-08-19,Completed
21,536,2024-06-26,Completed
22,569,2024-04-02,Completed
23,323,2024-08-26,Completed
24,641,2024-11-08,Completed
25,180,2024-11-08,Completed
26,292,2024-01-18,Completed
27,6,2024-02-09,Partially Filled
28,872,2024-02-14,Completed
29,398,2024-10-18,Completed
30,59,2024-09-26,Completed
31,532,2024-11-10,Completed
32,281,2024-08-11,Unfilled
33,412,2024-05-04,Completed
34,345,2024-12-11,Completed
35,916,2024-11-21,Completed
36,116,2024-10-05,Completed
37,330,2024-03-22,Completed
38,565,2024-05-16,Completed
39,221,2024-01-13,Completed
40,950,2024-05-16,Completed
41,148,2024-07-17,Completed
42,643,2024-01-28,Completed
43,673,2023-12-20,Completed
44,100,2024-08-23,Completed
45,366,2024-01-06,Partially Filled
46,381,2024-08-02,Completed
47,334,2024-07-17,Partially Filled
48,17,2024-10-04,Completed
49,111,2024-02-18,Completed
50,585,2024-02-16,Completed
51,262,2024-04-19,Partially Filled
52,743,2024-07-04,Cancelled
53,951,2023-12-27,Completed
54,61,2024-01-03,Completed
55,71,2024-07-16,Completed
56,298,2024-08-15,Completed
57,720,2024-12-05,Completed
58,653,2024-04-04,Completed
59,510,2024-03-10,Completed
60,500,2024-03-10,Completed
61,408,2024-11-25,Completed
62,541,2024-10-30,Completed
63,625,2024-12-12,Completed
64,731,2024-09-09,Partially Filled
65,928,2024-01-21,Completed
66,514,2024-06-07,Completed
67,266,2024-09-11,Completed
68,110,2024-02-26,Unfilled
69,63,2024-12-18,Completed
70,439,2024-07-16,Completed
71,941,2024-06-03,Partially Filled
72,754,2024-12-08,Partially Filled
73,386,2024-05-10,Completed
74,711,2024-07-04,Completed
75,52,2024-07-08,Completed
76,860,2024-07-30,Completed
77,935,2024-02-16,Completed
78,499,2024-04-09,Completed
79,149,2024-03-21,Completed
80,683,2024-03-09,Completed
81,429,2024-07-02,Completed
82,224,2024-03-04,Completed
83,600,2024-12-17,Completed
84,381,2024-01-01,Completed
85,351,2024-09-12,Completed
86,698,2024-05-17,Completed
87,565,2024-11-27,Completed
88,817,2024-10-28,Completed
89,395,2024-06-30,Completed
90,572,2024-11-08,Unfilled
91,516,2024-07-31,Partially Filled
92,945,2024-01-05,Completed
93,43,2024-08-16,Completed
94,178,2024-08-09,Completed
95,564,2024-02-24,Completed
96,583,2024-11-01,Completed
97,680,2024-04-03,Completed
98,811,2024-02-02,Partially Filled
99,712,2024-08-13,Completed
100,989,2024-04-01,Completed
101,515,2024-03-26,Completed
102,177,2024-09-10,Completed
103,292,2024-04-23,Completed
104,94,2024-02-17,Completed
105,499,2024-07-20,Unfilled
106,480,2024-11-30,Completed
107,332,2024-10-12,Completed
108,263,2024-03-14,Unfilled
109,93,2024-10-04,Completed
110,804,2024-10-09,Completed
111,396,2024-05-28,Unfilled
112,291,2024-01-27,Unfilled
113,47,2024-10-19,Completed
114,229,2024-01-18,Partially Filled
115,556,2024-10-18,Completed
116,231,2023-12-23,Partially Filled
117,83,2024-01-16,Completed
118,310,2024-09-30,Completed
119,51,2024-07-26,Completed
120,374,2024-10-01,Completed
121,785,2024-04-28,Completed
122,48,2024-10-13,Completed
123,537,2024-02-18,Completed
124,369,2024-10-04,Completed
125,899,2024-03-22,Completed
126,522,2024-10-29,Completed
127,248,2024-09-09,Completed
128,897,2024-05-29,Completed
129,235,2024-11-14,Completed
130,303,2024-03-24,Partially Filled
131,86,2024-07-17,Completed
132,463,2024-05-29,Completed
133,488,2024-01-16,Completed
134,650,2024-04-16,Completed
135,159,2024-11-07,Completed
136,455,2024-10-25,Completed
137,731,2024-11-22,Unfilled
138,927,2024-05-28,Completed
139,2,2024-08-15,Completed
140,775,2024-02-03,Unfilled
141,622,2024-06-01,Completed
142,739,2024-01-25,Completed
143,85,2024-04-25,Partially Filled
144,766,2024-04-28,Completed
145,80,2024-01-27,Completed
146,189,2024-11-23,Completed
147,714,2024-01-08,Completed
148,710,2024-05-26,Completed
149,766,2024-11-21,Completed
150,486,2024-12-11,Unfilled
151,19,2024-04-07,Completed
152,711,2024-09-07,Completed
153,569,2024-05-04,Completed
154,290,2024-08-13,Completed
155,612,2024-12-14,Completed
156,940,2024-03-16,Completed
157,349,2023-12-20,Completed
158,729,2024-11-14,Completed
159,406,2024-02-20,Partially Filled
160,133,2024-03-02,Partially Filled
161,333,2024-04-09,Completed
162,518,2024-05-18,Completed
163,868,2024-05-06,Completed
164,521,2024-11-04,Cancelled
165,577,2024-03-11,Completed
166,1000,2024-08-25,Completed
167,782,2024-02-27,Unfilled
168,300,2024-04-04,Completed
169,256,2024-01-08,Completed
170,114,2024-05-04,Completed
171,356,2024-06-16,Completed
172,935,2023-12-28,Completed
173,81,2024-03-18,Completed
174,355,2024-06-23,Completed
175,160,2024-11-04,Completed
176,297,2024-02-29,Completed
177,502,2024-04-29,Completed
178,886,2024-08-18,Unfilled
179,788,2024-06-03,Completed
180,662,2024-11-09,Unfilled
181,423,2024-02-11,Completed
182,891,2024-07-27,Partially Filled
183,303,2024-05-14,Completed
184,563,2024-12-02,Completed
185,710,2024-02-12,Completed
186,518,2024-05-10,Completed
187,911,2024-03-08,Completed
188,634,2024-06-16,Completed
189,265,2024-02-29,Completed
190,828,2024-04-14,Completed
191,310,2024-12-01,Completed
192,778,2024-02-06,Completed
193,438,2024-01-17,Completed
194,70,2024-09-09,Completed
195,539,2024-09-22,Unfilled
196,195,2024-09-09,Completed
197,86,2024-12-15,Completed
198,443,2024-01-03,Completed
199,971,2024-04-15,Partially Filled
200,669,2024-10-01,Completed
201,475,2024-10-30,Completed
202,39,2024-09-20,Cancelled
203,521,2024-11-01,Partially Filled
204,991,2024-09-04,Completed
205,521,2024-07-08,Partially Filled
206,902,2024-10-18,Completed
207,292,2024-03-12,Completed
208,98,2024-06-25,Completed
209,160,2024-05-27,Completed
210,300,2023-12-21,Partially Filled
211,94,2024-05-19,Completed
212,638,2024-04-04,Completed
213,997,2024-07-19,Completed
214,875,2024-03-15,Completed
215,270,2024-03-28,Completed
216,565,2024-11-24,Completed
217,666,2023-12-21,Completed
218,426,2024-12-02,Completed
219,788,2024-03-28,Completed
220,108,2024-08-03,Unfilled
221,459,2024-05-19,Cancelled
222,683,2024-05-13,Partially Filled
223,91,2024-01-29,Completed
224,369,2024-11-21,Completed
225,702,2024-12-17,Completed
226,418,2024-09-08,Completed
227,101,2024-04-14,Unfilled
228,963,2024-10-02,Unfilled
229,465,2024-09-25,Completed
230,15,2024-05-14,Completed
231,133,2024-01-04,Partially Filled
232,723,2024-07-17,Completed
233,35,2024-09-18,Cancelled
